data;dia;fluxo
01/01/02;ter;13935,27617
02/01/02;qua;16117,87738
03/01/02;qui;16534,49145
04/01/02;sex;16874,00248
05/01/02;sab;15611,90393
06/01/02;dom;13641,43494
07/01/02;seg;15586,22784
08/01/02;ter;15756,1179
09/01/02;qua;15583,76923
10/01/02;qui;13836,33922
11/01/02;sex;15746,49005
12/01/02;sab;15395,43755
13/01/02;dom;13920,25133
14/01/02;seg;16116,72351
15/01/02;ter;16328,17346
16/01/02;qua;16560,0493
17/01/02;qui;16552,11217
18/01/02;sex;16493,94681
19/01/02;sab;14852,71542
20/01/02;dom;13504,37662
21/01/02;seg;15809,65416
22/01/02;ter;16062,55391
23/01/02;qua;16466,77027
24/01/02;qui;16713,603
25/01/02;sex;16656,61735
26/01/02;sab;15580,86891
27/01/02;dom;13910,4468
28/01/02;seg;16528,99661
29/01/02;ter;16982,2248
30/01/02;qua;16922,6025
31/01/02;qui;16939,59123
01/02/02;sex;16553,09029
02/02/02;sab;15262,86162
03/02/02;dom;13687,30375
04/02/02;seg;16164,10719
05/02/02;ter;16416,28876
06/02/02;qua;16551,48571
07/02/02;qui;16613,03513
08/02/02;sex;16307,27272
09/02/02;sab;14728,54507
10/02/02;dom;13792,24184
11/02/02;seg;14488,46975
12/02/02;ter;13606,44107
13/02/02;qua;15479,6706
14/02/02;qui;16569,65596
15/02/02;sex;16678,00276
16/02/02;sab;16374,40421
17/02/02;dom;14444,4892
18/02/02;seg;17163,654
19/02/02;ter;17572,72143
20/02/02;qua;17664,63152
21/02/02;qui;17785,36829
22/02/02;sex;17968,60066
23/02/02;sab;16742,60521
24/02/02;dom;15245,49095
25/02/02;seg;17510,93852
26/02/02;ter;17667,67912
27/02/02;qua;17906,07113
28/02/02;qui;17721,46903
01/03/02;sex;17527,97534
02/03/02;sab;15749,91615
03/03/02;dom;13831,62476
04/03/02;seg;16057,77209
05/03/02;ter;16473,01565
06/03/02;qua;16672,9434
07/03/02;qui;16911,87639
08/03/02;sex;16889,17597
09/03/02;sab;15534,66418
10/03/02;dom;14259,21543
11/03/02;seg;16401,57873
12/03/02;ter;17037,5857
13/03/02;qua;17299,55865
14/03/02;qui;17567,68274
15/03/02;sex;17594,94253
16/03/02;sab;15892,60392
17/03/02;dom;14163,91414
18/03/02;seg;17030,22579
19/03/02;ter;16974,16061
20/03/02;qua;17438,74913
21/03/02;qui;17600,28013
22/03/02;sex;17373,24333
23/03/02;sab;15806,39149
24/03/02;dom;14305,55612
25/03/02;seg;17250,3074
26/03/02;ter;17465,65852
27/03/02;qua;17568,226
28/03/02;qui;16842,03124
29/03/02;sex;13902,25357
30/03/02;sab;15146,84747
31/03/02;dom;14094,00923
01/04/02;seg;17113,06943
02/04/02;ter;17531,50804
03/04/02;qua;17360,27789
04/04/02;qui;17384,18167
05/04/02;sex;17201,57083
06/04/02;sab;15878,16889
07/04/02;dom;14429,7732
08/04/02;seg;17407,19528
09/04/02;ter;17906,17122
10/04/02;qua;17528,6105
11/04/02;qui;17384,4855
12/04/02;sex;17011,11026
13/04/02;sab;16051,1163
14/04/02;dom;14737,9301
15/04/02;seg;17424,87615
16/04/02;ter;16984,01623
17/04/02;qua;17465,45066
18/04/02;qui;17914,11618
19/04/02;sex;17722,45002
20/04/02;sab;16346,13452
21/04/02;dom;14617,99563
22/04/02;seg;17061,98605
23/04/02;ter;17188,08406
24/04/02;qua;17149,86301
25/04/02;qui;17027,92207
26/04/02;sex;17487,79787
27/04/02;sab;15885,25411
28/04/02;dom;14441,40772
29/04/02;seg;17413,51838
30/04/02;ter;17451,08213
01/05/02;qua;14924,26081
02/05/02;qui;17499,16186
03/05/02;sex;17598,7622
04/05/02;sab;16259,15232
05/05/02;dom;14875,02113
06/05/02;seg;17544,56682
07/05/02;ter;17893,82102
08/05/02;qua;17734,27778
09/05/02;qui;17371,14173
10/05/02;sex;17693,831
11/05/02;sab;16542,72264
12/05/02;dom;14711,71656
13/05/02;seg;17609,40894
14/05/02;ter;18092,07635
15/05/02;qua;18077,27718
16/05/02;qui;18059,24285
17/05/02;sex;18049,67025
18/05/02;sab;16504,48986
19/05/02;dom;15083,01582
20/05/02;seg;18027,46584
21/05/02;ter;18345,71093
22/05/02;qua;18328,2375
23/05/02;qui;18317,80691
24/05/02;sex;18011,9158
25/05/02;sab;16356,69894
26/05/02;dom;14930,34925
27/05/02;seg;17787,36415
28/05/02;ter;18012,06561
29/05/02;qua;17933,96858
30/05/02;qui;15403,57801
31/05/02;sex;17488,84152
01/06/02;sab;16217,504
02/06/02;dom;14741,50104
03/06/02;seg;17590,03324
04/06/02;ter;18001,82171
05/06/02;qua;18101,9179
06/06/02;qui;18083,59914
07/06/02;sex;17815,13705
08/06/02;sab;15806,1937
09/06/02;dom;14671,78023
10/06/02;seg;17787,21915
11/06/02;ter;18119,40983
12/06/02;qua;18020,89782
13/06/02;qui;17825,20741
14/06/02;sex;17646,24076
15/06/02;sab;16108,81466
16/06/02;dom;14710,8745
17/06/02;seg;16397,56071
18/06/02;ter;17570,36411
19/06/02;qua;17822,02033
20/06/02;qui;17794,0807
21/06/02;sex;17839,26166
22/06/02;sab;16326,06848
23/06/02;dom;14906,2717
24/06/02;seg;17939,37905
25/06/02;ter;18230,67924
26/06/02;qua;17091,62552
27/06/02;qui;17883,54191
28/06/02;sex;18010,22361
29/06/02;sab;16765,91417
30/06/02;dom;14858,56655
01/07/02;seg;16931,32093
02/07/02;ter;17628,54355
03/07/02;qua;17943,0792
04/07/02;qui;18058,99193
05/07/02;sex;18087,59412
06/07/02;sab;16571,02224
07/07/02;dom;15281,83114
08/07/02;seg;17900,8954
09/07/02;ter;18147,61656
10/07/02;qua;18174,60784
11/07/02;qui;18127,56402
12/07/02;sex;17776,57377
13/07/02;sab;16330,19841
14/07/02;dom;14917,57209
15/07/02;seg;17668,91001
16/07/02;ter;18096,26566
17/07/02;qua;18175,05276
18/07/02;qui;17926,48429
19/07/02;sex;17555,50723
20/07/02;sab;16171,57134
21/07/02;dom;14332,65704
22/07/02;seg;17578,98446
23/07/02;ter;18101,19224
24/07/02;qua;18275,85814
25/07/02;qui;18076,77701
26/07/02;sex;17504,13862
27/07/02;sab;15876,77148
28/07/02;dom;14623,22308
29/07/02;seg;17795,35234
30/07/02;ter;18082,42911
31/07/02;qua;17979,61003
01/08/02;qui;18069,36077
02/08/02;sex;17988,03805
03/08/02;sab;16871,73921
04/08/02;dom;15378,87063
05/08/02;seg;18195,07176
06/08/02;ter;18539,20398
07/08/02;qua;18537,43308
08/08/02;qui;18566,27927
09/08/02;sex;18679,25476
10/08/02;sab;17274,99781
11/08/02;dom;15476,7788
12/08/02;seg;18494,7185
13/08/02;ter;18917,29768
14/08/02;qua;18795,44914
15/08/02;qui;16943,21606
16/08/02;sex;17830,41524
17/08/02;sab;17140,09742
18/08/02;dom;15560,75088
19/08/02;seg;18607,34885
20/08/02;ter;18911,04902
21/08/02;qua;19246,0224
22/08/02;qui;19065,41335
23/08/02;sex;19052,91651
24/08/02;sab;17386,19015
25/08/02;dom;15981,94544
26/08/02;seg;18966,47332
27/08/02;ter;19219,20224
28/08/02;qua;19283,59726
29/08/02;qui;19281,98438
30/08/02;sex;19205,87588
31/08/02;sab;17519,44007
01/09/02;dom;15864,18085
02/09/02;seg;18984,49401
03/09/02;ter;19152,61201
04/09/02;qua;18948,90311
05/09/02;qui;18742,65504
06/09/02;sex;18850,09622
07/09/02;sab;16275,98966
08/09/02;dom;15712,09571
09/09/02;seg;18934,34059
10/09/02;ter;19347,72215
11/09/02;qua;19121,25021
12/09/02;qui;19254,9252
13/09/02;sex;19177,23657
14/09/02;sab;17641,09417
15/09/02;dom;16150,15257
16/09/02;seg;19063,74537
17/09/02;ter;19332,0052
18/09/02;qua;19437,77578
19/09/02;qui;19560,46439
20/09/02;sex;19596,20261
21/09/02;sab;18007,60079
22/09/02;dom;16344,12414
23/09/02;seg;19389,15934
24/09/02;ter;19483,77672
25/09/02;qua;19414,68704
26/09/02;qui;19526,88057
27/09/02;sex;19518,39835
28/09/02;sab;17525,24407
29/09/02;dom;15837,40196
30/09/02;seg;18703,8479
01/10/02;ter;19027,39903
02/10/02;qua;19303,19524
03/10/02;qui;19421,48604
04/10/02;sex;19471,76616
05/10/02;sab;17631,89061
06/10/02;dom;15733,36588
07/10/02;seg;18829,01365
08/10/02;ter;19416,46692
09/10/02;qua;19565,48843
10/10/02;qui;19727,55319
11/10/02;sex;19500,44339
12/10/02;sab;17046,89709
13/10/02;dom;15585,47674
14/10/02;seg;18621,54138
15/10/02;ter;18916,29233
16/10/02;qua;19150,14492
17/10/02;qui;19263,01244
18/10/02;sex;19057,95246
19/10/02;sab;17489,94659
20/10/02;dom;15801,84745
21/10/02;seg;18994,15236
22/10/02;ter;19438,43324
23/10/02;qua;19414,27381
24/10/02;qui;19432,63421
25/10/02;sex;19296,24242
26/10/02;sab;17670,42785
27/10/02;dom;15796,11665
28/10/02;seg;17776,97839
29/10/02;ter;19520,74795
30/10/02;qua;19466,6312
31/10/02;qui;19538,73345
01/11/02;sex;19320,19485
02/11/02;sab;16935,76275
03/11/02;dom;15045,44234
04/11/02;seg;18770,15116
05/11/02;ter;19191,06591
06/11/02;qua;19221,57929
07/11/02;qui;19481,76652
08/11/02;sex;19426,15178
09/11/02;sab;17465,78474
10/11/02;dom;15778,6351
11/11/02;seg;18926,63873
12/11/02;ter;19488,62822
13/11/02;qua;19687,06721
14/11/02;qui;19555,7096
15/11/02;sex;17199,77914
16/11/02;sab;17456,77553
17/11/02;dom;15955,78026
18/11/02;seg;18901,76789
19/11/02;ter;19484,69349
20/11/02;qua;19466,11952
21/11/02;qui;19689,46455
22/11/02;sex;19652,11736
23/11/02;sab;17970,8062
24/11/02;dom;16398,7515
25/11/02;seg;19385,65916
26/11/02;ter;19809,50548
27/11/02;qua;19908,29111
28/11/02;qui;19928,41857
29/11/02;sex;19965,54241
30/11/02;sab;18313,13983
01/12/02;dom;16626,33373
02/12/02;seg;19325,24296
03/12/02;ter;19645,4918
04/12/02;qua;19912,01729
05/12/02;qui;20032,6105
06/12/02;sex;19940,46329
07/12/02;sab;18422,50676
08/12/02;dom;16393,36259
09/12/02;seg;18440,51982
10/12/02;ter;18325,57278
11/12/02;qua;18813,14221
12/12/02;qui;19270,25781
13/12/02;sex;19348,40956
14/12/02;sab;17958,03289
15/12/02;dom;16664,31286
16/12/02;seg;19631,36899
17/12/02;ter;19780,67603
18/12/02;qua;19558,17185
19/12/02;qui;19217,52384
20/12/02;sex;18873,70818
21/12/02;sab;17417,27472
22/12/02;dom;16387,3798
23/12/02;seg;18754,14458
24/12/02;ter;18040,51482
25/12/02;qua;15578,93595
26/12/02;qui;18211,71642
27/12/02;sex;18365,12751
28/12/02;sab;17152,22667
29/12/02;dom;15980,54876
30/12/02;seg;18099,17656
31/12/02;ter;17484,58156
01/01/03;qua;15517,99812
02/01/03;qui;18027,41935
03/01/03;sex;18695,93949
04/01/03;sab;17731,57112
05/01/03;dom;16421,86779
06/01/03;seg;19284,3752
07/01/03;ter;19649,60453
08/01/03;qua;19545,76686
09/01/03;qui;19473,34445
10/01/03;sex;19311,83209
11/01/03;sab;17720,99465
12/01/03;dom;16037,17919
13/01/03;seg;19008,88988
14/01/03;ter;19231,46567
15/01/03;qua;19286,13011
16/01/03;qui;19372,82545
17/01/03;sex;19202,49739
18/01/03;sab;17567,88509
19/01/03;dom;15637,39599
20/01/03;seg;18249,0534
21/01/03;ter;18331,52156
22/01/03;qua;18184,62717
23/01/03;qui;18148,59304
24/01/03;sex;18371,75304
25/01/03;sab;17179,32801
26/01/03;dom;15499,90374
27/01/03;seg;17777,20079
28/01/03;ter;17596,97746
29/01/03;qua;18074,34023
30/01/03;qui;18299,80977
31/01/03;sex;17954,24263
01/02/03;sab;16246,66153
02/02/03;dom;14501,17899
03/02/03;seg;17499,63283
04/02/03;ter;18035,45237
05/02/03;qua;18213,18975
06/02/03;qui;18223,45962
07/02/03;sex;18503,62631
08/02/03;sab;17083,75324
09/02/03;dom;15396,35954
10/02/03;seg;17858,27043
11/02/03;ter;18553,35228
12/02/03;qua;18606,00042
13/02/03;qui;18304,96367
14/02/03;sex;17997,55799
15/02/03;sab;17655,73256
16/02/03;dom;15319,88092
17/02/03;seg;15674,65898
18/02/03;ter;18214,86433
19/02/03;qua;18327,91293
20/02/03;qui;18263,00314
21/02/03;sex;18365,58473
22/02/03;sab;17039,71003
23/02/03;dom;15209,60903
24/02/03;seg;17658,00151
25/02/03;ter;18275,1701
26/02/03;qua;18575,83481
27/02/03;qui;18517,5554
28/02/03;sex;18273,53624
01/03/03;sab;16478,07903
02/03/03;dom;15044,21938
03/03/03;seg;16295,00513
04/03/03;ter;15290,39868
05/03/03;qua;16818,0356
06/03/03;qui;17884,08014
07/03/03;sex;18069,20611
08/03/03;sab;16694,49472
09/03/03;dom;15363,6372
10/03/03;seg;18072,42344
11/03/03;ter;18650,76575
12/03/03;qua;18709,74857
13/03/03;qui;18175,93754
14/03/03;sex;18089,94154
15/03/03;sab;16479,6212
16/03/03;dom;15322,66276
17/03/03;seg;17957,25002
18/03/03;ter;18378,339
19/03/03;qua;18408,21482
20/03/03;qui;18884,12993
21/03/03;sex;18879,86789
