data;fluxo
1/1992;287303,9
2/1992;262441,4
3/1992;279204,9
4/1992;275921,1
5/1992;293152,6
6/1992;285490,4
7/1992;289851,9
8/1992;293805,2
9/1992;289052,4
10/1992;300982,5
11/1992;296137,4
12/1992;305570,2
1/1993;291265
2/1993;261544,4
3/1993;301479,1
4/1993;292942
5/1993;312780
6/1993;326238,9
7/1993;312538,2
8/1993;314516,8
9/1993;311218,7
10/1993;326235
11/1993;318436,3
12/1993;331557,2
1/1994;320234,2
2/1994;287775,8
3/1994;325526,5
4/1994;313643,2
5/1994;338432,9
6/1994;330840,9
7/1994;335251,8
8/1994;358451,6
9/1994;354533,4
10/1994;364885,3
11/1994;362893,7
12/1994;376424,1
1/1995;365120,6
2/1995;326424,8
3/1995;375785,8
4/1995;354346,2
5/1995;376964,9
6/1995;375381,5
7/1995;375715,6
8/1995;400159,5
9/1995;387682,1
10/1995;404391
11/1995;389017,2
12/1995;403481
1/1996;392641,6
2/1996;366304,9
3/1996;394934,8
4/1996;383726,2
5/1996;410484,1
6/1996;400214,1
7/1996;414668,8
8/1996;433466,8
9/1996;426657,4
10/1996;438796,8
11/1996;431758,6
12/1996;446418,7
1/1997;424658
2/1997;384566
3/1997;429085,8
4/1997;423519,2
5/1997;447350,8
6/1997;448003,4
7/1997;456857,7
8/1997;464734,4
9/1997;464245,6
10/1997;488835,1
11/1997;466367,2
12/1997;479492
1/1998;470256,1332
2/1998;438602,7859
3/1998;484334,7314
4/1998;478405,9358
5/1998;502892,2353
6/1998;483890,0495
7/1998;490560,0551
8/1998;509605,0154
9/1998;507218,9694
10/1998;528947,7245
11/1998;505559,1762
12/1998;518600,8698
1/1999;494236,6533
2/1999;441998,1514
3/1999;503833,642
4/1999;483345,7889
5/1999;499096,8736
6/1999;499100,2445
7/1999;511798,7706
8/1999;551355,4436
9/1999;535616,3813
10/1999;551306,9822
11/1999;546148,6264
12/1999;559587,6611
1/2000;532810,4847
2/2000;498190,6014
3/2000;531674,3328
4/2000;512272,8442
5/2000;549585,5027
6/2000;538464,6982
7/2000;533908,1887
8/2000;567660,4284
9/2000;549747,0056
10/2000;571491,9691
11/2000;562724,4896
12/2000;564061,1223
1/2001;534124,1113
2/2001;475945,0878
3/2001;544417,7544
4/2001;520283,7705
5/2001;555757,8845
6/2001;503403,3498
7/2001;495329,2487
8/2001;501426,5646
9/2001;469936,4631
10/2001;500773,663
11/2001;489981,999
12/2001;513392,9099
1/2002;487521,6463
2/2002;454666,5955
3/2002;504663,9858
4/2002;504507,1239
5/2002;531067,6202
6/2002;510683,7099
7/2002;535698,196
8/2002;558986,4319
9/2002;552899,0623
10/2002;574906,5515
11/2002;557781,1902
12/2002;567651,3531
1/2003;560392,3333
2/2003;490394,5137
3/2003;539701,0327
4/2003;538902,4186
5/2003;575179,0356
6/2003;565088,8206
7/2003;584120,9413
8/2003;596406,33
9/2003;593157,0953
10/2003;617455,6895
11/2003;592808,9648
12/2003;606730,6856
1/2004;592623,0466
2/2004;530876,2303
3/2004;590596,6053
4/2004;574936,96
5/2004;624449,228
6/2004;602582,7392
7/2004;610951,3176
8/2004;636192,2464
9/2004;630508,0707
10/2004;652711,3229
11/2004;647187,0301
12/2004;664623,4738
1/2005;647366,5965
2/2005;578154,5835
3/2005;649907,3672
4/2005;635802,0799
5/2005;658445,0535
6/2005;666972,024
7/2005;672000,9121
8/2005;712184,9956
9/2005;699790,2236
10/2005;727019,1795
11/2005;713091,5114
12/2005;706804,2994
1/2006;698071,628
2/2006;630797,2703
3/2006;702231,5437
4/2006;661458,4912
5/2006;704590,8788
6/2006;707014,4736
7/2006;725560,7841
8/2006;768589,0753
9/2006;758856,9365
10/2006;798839,8002
11/2006;761473,8716
12/2006;776307,2213
1/2007;786974,9563
2/2007;671785,1998
3/2007;758546,5693
4/2007;739111,3756
5/2007;800366,216
6/2007;765350,0309
7/2007;792298,2795
8/2007;830373,1553
9/2007;816278,0678
10/2007;851496,2261
11/2007;835755,5895
12/2007;829869,6665
1/2008;800601,8462
2/2008;752106,836
3/2008;801890,3602
4/2008;789808,5336
5/2008;834789,954
6/2008;823701,179
7/2008;874820,854
8/2008;903554,4592
9/2008;894622,9702
10/2008;923698,6093
11/2008;892443,1167
12/2008;891430,1073
1/2009;856876,6059
2/2009;762837,894
3/2009;859819,703
4/2009;822664,7706
5/2009;842151,5349
6/2009;844119,1717
7/2009;903710,54
8/2009;947233,4099
9/2009;937079,2998
10/2009;982707,6994
11/2009;962153,9255
12/2009;964566,7513
